Index       TIME             V(CLK)            V(VIPC)           V(VINC)           V(CMPP)           V(CMPN)     
48       1.00016889e-12    1.20020267e-01    7.54109580e-09   -7.54109580e-09    2.22844874e-01    2.22844874e-01
49       1.11146488e-12    1.33375786e-01    8.38024778e-09   -8.38024778e-09    2.21256835e-01    2.21256835e-01
50       1.16711288e-12    1.40053545e-01    8.79982376e-09   -8.79982376e-09    2.20470674e-01    2.20470674e-01
51       1.19493687e-12    1.43392425e-01    9.00961175e-09   -9.00961175e-09    2.20078566e-01    2.20078566e-01
52       1.20884887e-12    1.45061864e-01    9.11450575e-09   -9.11450575e-09    2.19882755e-01    2.19882755e-01
53       1.23667287e-12    1.48400744e-01    9.32429374e-09   -9.32429374e-09    2.19491616e-01    2.19491616e-01
54       1.29232086e-12    1.55078503e-01    9.74386973e-09   -9.74386973e-09    2.18712233e-01    2.18712233e-01
55       1.40361685e-12    1.68434022e-01    1.05830217e-08   -1.05830217e-08    2.17164947e-01    2.17164947e-01
56       1.45926484e-12    1.75111781e-01    1.10025977e-08   -1.10025977e-08    2.16398882e-01    2.16398882e-01
57       1.48708884e-12    1.78450660e-01    1.12123857e-08   -1.12123857e-08    2.16016787e-01    2.16016787e-01
58       1.54273683e-12    1.85128420e-01    1.16319617e-08   -1.16319617e-08    2.15254465e-01    2.15254465e-01
59       1.65403282e-12    1.98483938e-01    1.24711136e-08   -1.24711136e-08    2.13740951e-01    2.13740951e-01
60       1.68185681e-12    2.01822818e-01    1.26809016e-08   -1.26809016e-08    2.13365337e-01    2.13365337e-01
61       1.69576881e-12    2.03492258e-01    1.27857956e-08   -1.27857956e-08    2.13177758e-01    2.13177758e-01
62       1.72359281e-12    2.06831137e-01    1.29955836e-08   -1.29955836e-08    2.12803056e-01    2.12803056e-01
63       1.77924080e-12    2.13508896e-01    1.34151596e-08   -1.34151596e-08    2.12056378e-01    2.12056378e-01
64       1.79315280e-12    2.15178336e-01    1.35200536e-08   -1.35200536e-08    2.11870388e-01    2.11870388e-01
65       1.80010880e-12    2.16013056e-01    1.35725006e-08   -1.35725006e-08    2.11777449e-01    2.11777449e-01
66       1.81402080e-12    2.17682496e-01    1.36773946e-08   -1.36773946e-08    2.11591684e-01    2.11591684e-01
67       1.84184480e-12    2.21021375e-01    1.38871826e-08   -1.38871826e-08    2.11220829e-01    2.11220829e-01
68       1.84880079e-12    2.21856095e-01    1.39396296e-08   -1.39396296e-08    2.11128284e-01    2.11128284e-01
69       1.85227879e-12    2.22273455e-01    1.39658531e-08   -1.39658531e-08    2.11082025e-01    2.11082025e-01
70       1.85923479e-12    2.23108175e-01    1.40183001e-08   -1.40183001e-08    2.10989536e-01    2.10989536e-01
71       1.87314679e-12    2.24777615e-01    1.41231941e-08   -1.41231941e-08    2.10804725e-01    2.10804725e-01
72       1.87662479e-12    2.25194975e-01    1.41494176e-08   -1.41494176e-08    2.10758564e-01    2.10758564e-01
73       1.87836379e-12    2.25403655e-01    1.41625293e-08   -1.41625293e-08    2.10735487e-01    2.10735487e-01
74       1.88184179e-12    2.25821015e-01    1.41887528e-08   -1.41887528e-08    2.10689340e-01    2.10689340e-01
75       1.88879779e-12    2.26655735e-01    1.42411998e-08   -1.42411998e-08    2.10597088e-01    2.10597088e-01
76       1.89053679e-12    2.26864415e-01    1.42543116e-08   -1.42543116e-08    2.10574035e-01    2.10574035e-01
77       1.89140629e-12    2.26968755e-01    1.42608675e-08   -1.42608675e-08    2.10562510e-01    2.10562510e-01
78       1.89314529e-12    2.27177435e-01    1.42739792e-08   -1.42739792e-08    2.10539461e-01    2.10539461e-01
79       1.89662329e-12    2.27594795e-01    1.43002027e-08   -1.43002027e-08    2.10493373e-01    2.10493373e-01
80       1.89836229e-12    2.27803475e-01    1.43133144e-08   -1.43133144e-08    2.10470336e-01    2.10470336e-01
81       1.90184029e-12    2.28220835e-01    1.43395379e-08   -1.43395379e-08    2.10424270e-01    2.10424270e-01
82       1.90879629e-12    2.29055555e-01    1.43919849e-08   -1.43919849e-08    2.10332178e-01    2.10332178e-01
83       1.91227429e-12    2.29472914e-01    1.44182084e-08   -1.44182084e-08    2.10286160e-01    2.10286160e-01
84       1.91923029e-12    2.30307634e-01    1.44706554e-08   -1.44706554e-08    2.10194151e-01    2.10194151e-01
85       1.93314228e-12    2.31977074e-01    1.45755494e-08   -1.45755494e-08    2.10010301e-01    2.10010301e-01
86       1.94009828e-12    2.32811794e-01    1.46279964e-08   -1.46279964e-08    2.09918487e-01    2.09918487e-01
87       1.95401028e-12    2.34481234e-01    1.47328904e-08   -1.47328904e-08    2.09734969e-01    2.09734969e-01
88       1.98183428e-12    2.37820113e-01    1.49426784e-08   -1.49426784e-08    2.09368597e-01    2.09368597e-01
89       1.99574628e-12    2.39489553e-01    1.50475724e-08   -1.50475724e-08    2.09185852e-01    2.09185852e-01
90       2.02357027e-12    2.42828433e-01    1.52573604e-08   -1.52573604e-08    2.08820802e-01    2.08820802e-01
91       2.07921827e-12    2.49506192e-01    1.56769364e-08   -1.56769364e-08    2.08093329e-01    2.08093329e-01
92       2.09313027e-12    2.51175632e-01    1.57818304e-08   -1.57818304e-08    2.07912116e-01    2.07912116e-01
93       2.10008627e-12    2.52010352e-01    1.58342774e-08   -1.58342774e-08    2.07821564e-01    2.07821564e-01
94       2.11399826e-12    2.53679792e-01    1.59391714e-08   -1.59391714e-08    2.07640568e-01    2.07640568e-01
95       2.14182226e-12    2.57018671e-01    1.61489594e-08   -1.61489594e-08    2.07279227e-01    2.07279227e-01
96       2.15573426e-12    2.58688111e-01    1.62538534e-08   -1.62538534e-08    2.07098989e-01    2.07098989e-01
97       2.16269026e-12    2.59522831e-01    1.63063004e-08   -1.63063004e-08    2.07008924e-01    2.07008924e-01
98       2.17660226e-12    2.61192271e-01    1.64111944e-08   -1.64111944e-08    2.06828902e-01    2.06828902e-01
99       2.20442625e-12    2.64531150e-01    1.66209824e-08   -1.66209824e-08    2.06469502e-01    2.06469502e-01
100      2.21833825e-12    2.66200590e-01    1.67258764e-08   -1.67258764e-08    2.06290232e-01    2.06290232e-01
101      2.22529425e-12    2.67035310e-01    1.67783234e-08   -1.67783234e-08    2.06200651e-01    2.06200651e-01
102      2.23920625e-12    2.68704750e-01    1.68832174e-08   -1.68832174e-08    2.06021595e-01    2.06021595e-01
103      2.26703025e-12    2.72043629e-01    1.70930054e-08   -1.70930054e-08    2.05664123e-01    2.05664123e-01
104      2.28094224e-12    2.73713069e-01    1.71978994e-08   -1.71978994e-08    2.05485814e-01    2.05485814e-01
105      2.28789824e-12    2.74547789e-01    1.72503463e-08   -1.72503463e-08    2.05396712e-01    2.05396712e-01
106      2.30181024e-12    2.76217229e-01    1.73552403e-08   -1.73552403e-08    2.05218615e-01    2.05218615e-01
107      2.32963424e-12    2.79556109e-01    1.75650283e-08   -1.75650283e-08    2.04863057e-01    2.04863057e-01
108      2.35745823e-12    2.82894988e-01    1.77748163e-08   -1.77748163e-08    2.04508345e-01    2.04508345e-01
109      2.41310623e-12    2.89572747e-01    1.81943923e-08   -1.81943923e-08    2.03801446e-01    2.03801446e-01
110      2.42701823e-12    2.91242187e-01    1.82992863e-08   -1.82992863e-08    2.03625350e-01    2.03625350e-01
111      2.45484222e-12    2.94581067e-01    1.85090743e-08   -1.85090743e-08    2.03273576e-01    2.03273576e-01
112      2.51049022e-12    3.01258826e-01    1.89286503e-08   -1.89286503e-08    2.02572525e-01    2.02572525e-01
113      2.53831421e-12    3.04597706e-01    1.91384383e-08   -1.91384383e-08    2.02223655e-01    2.02223655e-01
114      2.55222621e-12    3.06267145e-01    1.92433323e-08   -1.92433323e-08    2.02049426e-01    2.02049426e-01
115      2.58005021e-12    3.09606025e-01    1.94531203e-08   -1.94531203e-08    2.01701379e-01    2.01701379e-01
116      2.63569820e-12    3.16283784e-01    1.98726963e-08   -1.98726963e-08    2.01007746e-01    2.01007746e-01
117      2.66352220e-12    3.19622664e-01    2.00824843e-08   -2.00824843e-08    2.00662560e-01    2.00662560e-01
118      2.71917019e-12    3.26300423e-01    2.05020602e-08   -2.05020602e-08    1.99973811e-01    1.99973811e-01
119      2.83046618e-12    3.39655941e-01    2.13412122e-08   -2.13412122e-08    1.98605973e-01    1.98605973e-01
120      2.88611417e-12    3.46333701e-01    2.17607882e-08   -2.17607882e-08    1.97928435e-01    1.97928435e-01
121      2.91393817e-12    3.49672580e-01    2.19705762e-08   -2.19705762e-08    1.97590455e-01    1.97590455e-01
122      2.96958616e-12    3.56350339e-01    2.23901522e-08   -2.23901522e-08    1.96916071e-01    1.96916071e-01
123      3.08088215e-12    3.69705858e-01    2.32293041e-08   -2.32293041e-08    1.95576683e-01    1.95576683e-01
124      3.13653014e-12    3.76383617e-01    2.36488801e-08   -2.36488801e-08    1.94913187e-01    1.94913187e-01
125      3.24782613e-12    3.89739136e-01    2.44880321e-08   -2.44880321e-08    1.93592309e-01    1.93592309e-01
126      3.47041810e-12    4.16450172e-01    2.61663360e-08   -2.61663360e-08    1.90986778e-01    1.90986778e-01
127      3.58171409e-12    4.29805691e-01    2.70054880e-08   -2.70054880e-08    1.89707727e-01    1.89707727e-01
128      3.65197211e-12    4.38236654e-01    2.75352210e-08   -2.75352210e-08    1.88904926e-01    1.88904926e-01
129      3.79248816e-12    4.55098579e-01    2.85946870e-08   -2.85946870e-08    1.87308499e-01    1.87308499e-01
130      4.07352025e-12    4.88822430e-01    3.07136191e-08   -3.07136191e-08    1.84169831e-01    1.84169831e-01
131      4.63558443e-12    5.56270131e-01    3.49514831e-08   -3.49514831e-08    1.78100965e-01    1.78100965e-01
132      5.19764860e-12    6.23717832e-01    3.91893472e-08   -3.91893472e-08    1.72297511e-01    1.72297511e-01
133      5.34340155e-12    6.41208186e-01    4.02882985e-08   -4.02882985e-08    1.70842476e-01    1.70842476e-01
134      5.48915449e-12    6.58698539e-01    4.13872498e-08   -4.13872498e-08    1.69395633e-01    1.69395633e-01
135      5.51272857e-12    6.61527429e-01    4.15649942e-08   -4.15649942e-08    1.69163370e-01    1.69163370e-01
136      5.55987674e-12    6.67185208e-01    4.19204830e-08   -4.19204830e-08    1.68699691e-01    1.68699691e-01
137      5.58345082e-12    6.70014098e-01    4.20982274e-08   -4.20982274e-08    1.68468696e-01    1.68468696e-01
138      5.60702490e-12    6.72842988e-01    4.22759718e-08   -4.22759718e-08    1.68237911e-01    1.68237911e-01
139      5.61881194e-12    6.74257433e-01    4.23648440e-08   -4.23648440e-08    1.68122729e-01    1.68122729e-01
140      5.63059898e-12    6.75671878e-01    4.24537161e-08   -4.24537161e-08    1.68007599e-01    1.68007599e-01
141      5.63649250e-12    6.76379100e-01    4.24981522e-08   -4.24981522e-08    1.67950086e-01    1.67950086e-01
142      5.64238602e-12    6.77086323e-01    4.25425883e-08   -4.25425883e-08    1.67892587e-01    1.67892587e-01
143      5.64385940e-12    6.77263128e-01    4.25536974e-08   -4.25536974e-08    1.67878217e-01    1.67878217e-01
144      5.64518544e-12    6.77422253e-01    4.25636955e-08   -4.25636955e-08    1.67865285e-01    1.67865285e-01
145      5.64627619e-12    6.77553143e-01    4.25719195e-08   -4.25719195e-08    1.67854649e-01    1.67854649e-01
146      5.64666239e-12    6.77599487e-01    4.25748314e-08   -4.25748314e-08    1.67850883e-01    1.67850883e-01
147      5.64743478e-12    6.77692174e-01    4.25806551e-08   -4.25806551e-08    1.67843352e-01    1.67843352e-01
148      5.64897958e-12    6.77877549e-01    4.25923026e-08   -4.25923026e-08    1.67828290e-01    1.67828290e-01
149      5.65206916e-12    6.78248299e-01    4.26155975e-08   -4.26155975e-08    1.67798173e-01    1.67798173e-01
150      5.65361395e-12    6.78433674e-01    4.26272449e-08   -4.26272449e-08    1.67783118e-01    1.67783118e-01
151      5.65670353e-12    6.78804424e-01    4.26505398e-08   -4.26505398e-08    1.67753011e-01    1.67753011e-01
152      5.66288270e-12    6.79545923e-01    4.26971296e-08   -4.26971296e-08    1.67692820e-01    1.67692820e-01
153      5.66906186e-12    6.80287423e-01    4.27437194e-08   -4.27437194e-08    1.67632656e-01    1.67632656e-01
154      5.68142019e-12    6.81770423e-01    4.28368990e-08   -4.28368990e-08    1.67512416e-01    1.67512416e-01
155      5.68539314e-12    6.82247177e-01    4.28668544e-08   -4.28668544e-08    1.67473792e-01    1.67473792e-01
156      5.69333905e-12    6.83200686e-01    4.29267651e-08   -4.29267651e-08    1.67396566e-01    1.67396566e-01
157      5.70923086e-12    6.85107703e-01    4.30465865e-08   -4.30465865e-08    1.67242257e-01    1.67242257e-01
158      5.74101447e-12    6.88921737e-01    4.32862293e-08   -4.32862293e-08    1.66934205e-01    1.66934205e-01
159      5.77279809e-12    6.92735771e-01    4.35258722e-08   -4.35258722e-08    1.66626906e-01    1.66626906e-01
160      5.78868990e-12    6.94642788e-01    4.36456936e-08   -4.36456936e-08    1.66473632e-01    1.66473632e-01
161      5.82047352e-12    6.98456822e-01    4.38853364e-08   -4.38853364e-08    1.66167456e-01    1.66167456e-01
162      5.88404076e-12    7.06084891e-01    4.43646221e-08   -4.43646221e-08    1.65557342e-01    1.65557342e-01
163      5.94760799e-12    7.13712959e-01    4.48439078e-08   -4.48439078e-08    1.64950194e-01    1.64950194e-01
164      6.07474246e-12    7.28969096e-01    4.58024791e-08   -4.58024791e-08    1.63744707e-01    1.63744707e-01
165      6.10652608e-12    7.32783130e-01    4.60421220e-08   -4.60421220e-08    1.63445523e-01    1.63445523e-01
166      6.17009332e-12    7.40411198e-01    4.65214076e-08   -4.65214076e-08    1.62848600e-01    1.62848600e-01
167      6.29722779e-12    7.55667335e-01    4.74799790e-08   -4.74799790e-08    1.61663362e-01    1.61663362e-01
168      6.42436227e-12    7.70923472e-01    4.84385503e-08   -4.84385503e-08    1.60489488e-01    1.60489488e-01
169      6.67863121e-12    8.01435745e-01    5.03556930e-08   -5.03556930e-08    1.58175169e-01    1.58175169e-01
170      6.74219845e-12    8.09063814e-01    5.08349787e-08   -5.08349787e-08    1.57604841e-01    1.57604841e-01
171      6.86933292e-12    8.24319950e-01    5.17935500e-08   -5.17935500e-08    1.56469577e-01    1.56469577e-01
172      7.12360187e-12    8.54832224e-01    5.37106927e-08   -5.37106927e-08    1.54230991e-01    1.54230991e-01
173      7.37787081e-12    8.85344497e-01    5.56278354e-08   -5.56278354e-08    1.52034186e-01    1.52034186e-01
174      7.63213976e-12    9.15856771e-01    5.75449781e-08   -5.75449781e-08    1.49878106e-01    1.49878106e-01
175      8.14067765e-12    9.76881318e-01    6.13792634e-08   -6.13792634e-08    1.45683608e-01    1.45683608e-01
176      8.64921554e-12    1.03790586e+00    6.52135488e-08   -6.52135488e-08    1.41640258e-01    1.41640258e-01
177      9.15775343e-12    1.09893041e+00    6.90478342e-08   -6.90478342e-08    1.37740784e-01    1.37740784e-01
178      9.66629132e-12    1.15995496e+00    7.28821195e-08   -7.28821195e-08    1.33978368e-01    1.33978368e-01
179      1.00000000e-11    1.20000000e+00    7.53982237e-08   -7.53982237e-08    1.31580996e-01    1.31580996e-01
180      1.01017076e-11    1.20000000e+00    7.61650808e-08   -7.61650808e-08    1.30863786e-01    1.30863786e-01
181      1.03051227e-11    1.20000000e+00    7.76987949e-08   -7.76987949e-08    1.29449110e-01    1.29449110e-01
182      1.07119530e-11    1.20000000e+00    8.07662232e-08   -8.07662232e-08    1.26658434e-01    1.26658434e-01
183      1.09153682e-11    1.20000000e+00    8.22999373e-08   -8.22999373e-08    1.25301115e-01    1.25301115e-01
184      1.13221985e-11    1.20000000e+00    8.53673656e-08   -8.53673656e-08    1.22623086e-01    1.22623086e-01
185      1.21358591e-11    1.20000000e+00    9.15022222e-08   -9.15022222e-08    1.17479018e-01    1.17479018e-01
186      1.37631804e-11    1.20000000e+00    1.03771935e-07   -1.03771935e-07    1.07968674e-01    1.07968674e-01
187      1.45768410e-11    1.20000000e+00    1.09906792e-07   -1.09906792e-07    1.03683535e-01    1.03683535e-01
